"","team","division","games","wins","draws","losses","elo"
"1","DAL","CEN",4,3,1,0,1579.3
"2","VGK","PAC",5,4,0,1,1573.8
"3","BUF","ATL",4,3,0,1,1572.9
"4","PIT","MET",4,3,1,0,1572.9
"5","BOS","ATL",5,3,1,1,1551.3
"6","DET","ATL",3,2,1,0,1544.4
"7","CAR","MET",4,3,0,1,1541.5
"8","PHI","MET",4,3,0,1,1540.4
"9","STL","CEN",2,1,1,0,1536
"10","FLA","ATL",4,3,0,1,1535.5
"11","CGY","PAC",4,3,0,1,1525.2
"12","NYR","MET",5,3,1,1,1521.2
"13","COL","CEN",4,2,1,1,1520.1
"14","OTT","ATL",4,2,0,2,1519.3
"15","EDM","PAC",4,2,0,2,1514.5
"16","NJD","MET",4,2,0,2,1505
"17","MTL","ATL",5,2,1,2,1503.8
"18","TOR","ATL",5,2,1,2,1500.7
"19","NYI","MET",4,2,0,2,1496.3
"20","WPG","CEN",4,1,1,2,1490.6
"21","CHI","CEN",3,1,0,2,1485.1
"22","WSH","MET",5,2,0,3,1468.2
"23","TBL","ATL",4,1,0,3,1464.7
"24","LAK","PAC",6,1,2,3,1461.5
"25","SEA","PAC",5,1,2,2,1451.8
"26","CBJ","MET",5,1,1,3,1451.1
"27","NSH","CEN",6,2,1,3,1448
"28","ARI","CEN",4,1,0,3,1438.8
"29","MIN","CEN",4,0,1,3,1438.2
"30","ANA","PAC",5,0,2,3,1427.9
"31","VAN","PAC",5,0,2,3,1414.7
"32","SJS","PAC",6,0,1,5,1405.3
