"","team","division","games","wins","draws","losses","elo"
"1","DAL","CEN",4,3,1,0,1579.3
"2","VGK","PAC",5,4,0,1,1573.8
"3","BUF","ATL",4,3,0,1,1572.9
"4","PIT","MET",4,3,1,0,1572.9
"5","BOS","ATL",5,3,1,1,1551.3
"6","CAR","MET",4,3,0,1,1541.5
"7","PHI","MET",4,3,0,1,1540.4
"8","STL","CEN",2,1,1,0,1536
"9","DET","ATL",4,2,2,0,1530.4
"10","CGY","PAC",4,3,0,1,1525.2
"11","NYR","MET",5,3,1,1,1521.2
"12","FLA","ATL",5,3,1,1,1521.1
"13","OTT","ATL",4,2,0,2,1519.3
"14","EDM","PAC",4,2,0,2,1514.5
"15","NJD","MET",4,2,0,2,1505
"16","MTL","ATL",5,2,1,2,1503.8
"17","COL","CEN",5,2,1,2,1501
"18","TOR","ATL",5,2,1,2,1500.7
"19","CHI","CEN",4,1,1,2,1499.1
"20","NYI","MET",4,2,0,2,1496.3
"21","WPG","CEN",4,1,1,2,1490.6
"22","TBL","ATL",5,1,1,3,1479.1
"23","SEA","PAC",6,2,2,2,1470.9
"24","WSH","MET",5,2,0,3,1468.2
"25","LAK","PAC",6,1,2,3,1461.5
"26","CBJ","MET",5,1,1,3,1451.1
"27","NSH","CEN",6,2,1,3,1448
"28","ARI","CEN",4,1,0,3,1438.8
"29","MIN","CEN",4,0,1,3,1438.2
"30","ANA","PAC",5,0,2,3,1427.9
"31","VAN","PAC",5,0,2,3,1414.7
"32","SJS","PAC",6,0,1,5,1405.3
